cust_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,RFM_Score_Sum,RFM_Level
267165,2910,1,23054.72,3,1,4,314,8,Champions
267167,3090,1,8344.96,2,1,2,212,5,Promising
267169,2840,2,7268.6900000000005,3,3,2,332,8,Champions
267174,2843,1,8062.08,3,1,2,312,6,Potential
267176,2958,2,4540.445,3,3,2,332,8,Champions
267177,2818,1,20359.625,4,1,3,413,8,Champions
267180,2869,2,3340.415,3,3,1,331,7,Loyal
267182,2819,2,6444.36,4,3,2,432,9,Can't Loose Them
267183,2924,2,12778.22,3,3,3,333,9,Can't Loose Them
267188,2837,2,6404.58,3,3,2,332,8,Champions
267189,3292,1,349.18,2,1,1,211,4,Needs Attention
267191,2831,1,465.205,3,1,1,311,5,Promising
267196,3269,1,1333.735,2,1,1,211,4,Needs Attention
267199,2696,1,6470.88,4,1,2,412,7,Loyal
267203,2661,3,4116.125,4,4,2,442,10,Can't Loose Them
267205,3331,2,48773.595,2,3,4,234,9,Can't Loose Them
267207,3212,1,22559.68,2,1,4,214,7,Loyal
267209,3430,1,36382.125,1,1,4,114,6,Potential
267210,3643,1,19341.92,1,1,3,113,5,Promising
267211,2698,2,26823.875,4,3,4,434,11,Can't Loose Them
267212,2752,1,2691.78,4,1,1,411,6,Potential
267214,3214,1,5896.28,2,1,2,212,5,Promising
267215,2842,1,37956.75,3,1,4,314,8,Champions
267216,2833,2,21127.6,3,3,3,333,9,Can't Loose Them
267217,2840,1,1587.885,3,1,1,311,5,Promising
267220,3519,1,1293.955,1,1,1,111,3,Require Activation
267224,3270,2,9947.210000000001,2,3,2,232,7,Loyal
267226,3422,3,17256.785,1,4,3,143,8,Champions
267228,3228,2,16500.965,2,3,3,233,8,Champions
267230,3152,2,9541.675,2,3,2,232,7,Loyal
267231,3572,1,2545.92,1,1,1,111,3,Require Activation
267233,2965,4,18625.88,3,4,3,343,10,Can't Loose Them
267235,3693,1,38371.125,1,1,4,114,6,Potential
267239,3139,1,4791.28,2,1,2,212,5,Promising
267243,2630,1,12520.755000000001,4,1,3,413,8,Champions
267245,2820,2,41922.595,4,3,4,434,11,Can't Loose Them
267247,3148,1,11934.0,2,1,3,213,6,Potential
267248,3136,1,29890.25,2,1,4,214,7,Loyal
267251,3365,1,534.82,1,1,1,111,3,Require Activation
267252,3613,1,439.79,1,1,1,111,3,Require Activation
267257,3226,3,43344.729999999996,2,4,4,244,10,Can't Loose Them
267260,3138,1,3540.42,2,1,2,212,5,Promising
267264,3668,1,121.55,1,1,1,111,3,Require Activation
267272,3209,1,21021.52,2,1,3,213,6,Potential
267278,3229,1,20915.44,2,1,3,213,6,Potential
267279,3365,1,1927.12,1,1,1,111,3,Require Activation
267280,3243,1,26713.375,2,1,4,214,7,Loyal
267281,3362,2,13105.3,1,3,3,133,7,Loyal
267282,2851,2,24958.635000000002,3,3,4,334,10,Can't Loose Them
267284,3623,1,9696.375,1,1,2,112,4,Needs Attention
267285,2810,2,6546.02,4,3,2,432,9,Can't Loose Them
267286,3062,1,1255.28,3,1,1,311,5,Promising
267291,2726,1,1424.345,4,1,1,411,6,Potential
267293,2966,2,22440.34,3,3,4,334,10,Can't Loose Them
267298,2865,1,3058.64,3,1,1,311,5,Promising
267306,2831,3,18687.760000000002,3,4,3,343,10,Can't Loose Them
267316,2538,1,11566.035,4,1,3,413,8,Champions
267320,2896,1,369.07,3,1,1,311,5,Promising
267322,2720,3,33646.145000000004,4,4,4,444,12,Can't Loose Them
267323,3627,1,1464.125,1,1,1,111,3,Require Activation
267324,3208,4,50239.93000000001,2,4,4,244,10,Can't Loose Them
267325,2815,1,1646.45,4,1,1,411,6,Potential
267326,3182,1,9756.045,2,1,2,212,5,Promising
267327,3171,2,3202.29,2,3,1,231,6,Potential
267328,2942,1,1272.96,3,1,1,311,5,Promising
267329,3267,2,7432.23,2,3,2,232,7,Loyal
267330,3548,1,13277.68,1,1,3,113,5,Promising
267332,2726,2,6402.37,4,3,2,432,9,Can't Loose Them
267337,2926,1,1204.45,3,1,1,311,5,Promising
267338,2726,2,14479.92,4,3,3,433,10,Can't Loose Them
267343,3668,1,4813.38,1,1,2,112,4,Needs Attention
267345,3260,2,6895.200000000001,2,3,2,232,7,Loyal
267346,2780,4,12109.695,4,4,3,443,11,Can't Loose Them
267349,3148,1,7320.625,2,1,2,212,5,Promising
267356,3258,2,10075.39,2,3,2,232,7,Loyal
267358,2971,1,4743.765,3,1,2,312,6,Potential
267359,2803,1,32929.0,4,1,4,414,9,Can't Loose Them
267360,3227,1,26492.375,2,1,4,214,7,Loyal
267361,2722,2,27010.620000000003,4,3,4,434,11,Can't Loose Them
267364,2802,1,13147.29,4,1,3,413,8,Champions
267366,3302,1,1496.17,2,1,1,211,4,Needs Attention
267370,2874,1,548.08,3,1,1,311,5,Promising
267374,3307,1,7259.849999999999,2,1,2,212,5,Promising
267377,2837,1,1158.04,3,1,1,311,5,Promising
267378,2820,2,12521.859999999999,4,3,3,433,10,Can't Loose Them
267379,3231,2,14877.72,2,3,3,233,8,Champions
267383,3730,1,367.965,1,1,1,111,3,Require Activation
267385,2778,2,27784.12,4,3,4,434,11,Can't Loose Them
267386,3672,1,12272.130000000001,1,1,3,113,5,Promising
267390,3399,1,5639.92,1,1,2,112,4,Needs Attention
267395,3217,1,3394.56,2,1,1,211,4,Needs Attention
267398,3135,1,25774.125,2,1,4,214,7,Loyal
267401,3487,1,10601.369999999999,1,1,3,113,5,Promising
267402,2995,3,44792.28,3,4,4,344,11,Can't Loose Them
267403,3125,2,37880.505,2,3,4,234,9,Can't Loose Them
267408,3667,2,2080.715,1,3,1,131,5,Promising
267412,2816,1,23408.32,4,1,4,414,9,Can't Loose Them
267413,3485,1,7637.76,1,1,2,112,4,Needs Attention
267414,3668,1,41382.25,1,1,4,114,6,Potential
267420,2634,3,43504.955,4,4,4,444,12,Can't Loose Them
267422,3060,3,17043.52,3,4,3,343,10,Can't Loose Them
267425,3581,1,6170.32,1,1,2,112,4,Needs Attention
267429,2807,1,10561.59,4,1,3,413,8,Champions
267430,2870,1,24337.625,3,1,4,314,8,Champions
267436,3177,2,16230.24,2,3,3,233,8,Champions
267437,2933,2,32584.239999999998,3,3,4,334,10,Can't Loose Them
267439,3300,1,9974.835000000001,2,1,2,212,5,Promising
267442,2753,2,14066.65,4,3,3,433,10,Can't Loose Them
267446,2661,1,5905.12,4,1,2,412,7,Loyal
267448,3277,1,809.965,2,1,1,211,4,Needs Attention
267449,3000,2,18992.74,3,3,3,333,9,Can't Loose Them
267450,2635,1,2718.3,4,1,1,411,6,Potential
267453,3000,2,13541.775,3,3,3,333,9,Can't Loose Them
267455,2933,2,3614.4549999999995,3,3,2,332,8,Champions
267460,3305,1,9805.77,2,1,2,212,5,Promising
267462,2810,2,33464.925,4,3,4,434,11,Can't Loose Them
267464,3062,3,9748.31,3,4,2,342,9,Can't Loose Them
267465,3459,2,29149.9,1,3,4,134,8,Champions
267467,2842,1,12694.24,3,1,3,313,7,Loyal
267468,3174,1,18298.8,2,1,3,213,6,Potential
267470,3427,1,5607.875,1,1,2,112,4,Needs Attention
267473,3180,1,24822.72,2,1,4,214,7,Loyal
267475,2930,2,13616.915000000003,3,3,3,333,9,Can't Loose Them
267478,3564,1,11243.375,1,1,3,113,5,Promising
267479,3701,1,3973.58,1,1,2,112,4,Needs Attention
267482,3148,1,12871.04,2,1,3,213,6,Potential
267483,3258,1,636.48,2,1,1,211,4,Needs Attention
267486,2778,3,59693.204999999994,4,4,4,444,12,Can't Loose Them
267488,3064,2,46130.435,2,3,4,234,9,Can't Loose Them
267492,2899,1,41078.375,3,1,4,314,8,Champions
267498,2692,1,12486.5,4,1,3,413,8,Champions
267499,2941,2,2682.94,3,3,1,331,7,Loyal
267500,3552,1,1299.48,1,1,1,111,3,Require Activation
267503,2786,2,8699.665,4,3,2,432,9,Can't Loose Them
267504,2804,2,49338.25,4,3,4,434,11,Can't Loose Them
267508,2954,2,17612.595,3,3,3,333,9,Can't Loose Them
267511,2728,1,27459.25,4,1,4,414,9,Can't Loose Them
267512,2848,1,1255.28,3,1,1,311,5,Promising
267522,3308,1,8115.12,2,1,2,212,5,Promising
267524,3488,1,5420.025,1,1,2,112,4,Needs Attention
267527,3248,1,377.91,2,1,1,211,4,Needs Attention
267528,2757,2,35366.630000000005,4,3,4,434,11,Can't Loose Them
267534,3531,1,1275.17,1,1,1,111,3,Require Activation
267536,3546,1,414.375,1,1,1,111,3,Require Activation
267537,3320,1,13206.96,2,1,3,213,6,Potential
267539,3675,1,37570.0,1,1,4,114,6,Potential
267540,3176,1,18263.44,2,1,3,213,6,Potential
267544,3694,1,4048.72,1,1,2,112,4,Needs Attention
267545,3685,1,2182.375,1,1,1,111,3,Require Activation
267547,2630,2,10343.905,4,3,2,432,9,Can't Loose Them
267549,2832,1,8194.68,3,1,2,312,6,Potential
267550,2926,1,4066.4,3,1,2,312,6,Potential
267551,3693,1,586.755,1,1,1,111,3,Require Activation
267557,3606,1,1819.935,1,1,1,111,3,Require Activation
267565,2870,2,13930.735,3,3,3,333,9,Can't Loose Them
267568,3139,1,186.745,2,1,1,211,4,Needs Attention
267573,3320,1,1607.775,2,1,1,211,4,Needs Attention
267574,2928,1,2263.04,3,1,1,311,5,Promising
267575,3324,1,27265.875,2,1,4,214,7,Loyal
267576,3187,1,3916.12,2,1,2,212,5,Promising
267577,3147,3,18555.16,2,4,3,243,9,Can't Loose Them
267579,3552,1,7231.12,1,1,2,112,4,Needs Attention
267580,3422,1,7110.674999999999,1,1,2,112,4,Needs Attention
267588,3059,1,707.2,3,1,1,311,5,Promising
267592,2873,2,44393.375,3,3,4,334,10,Can't Loose Them
267594,2634,1,8423.414999999999,4,1,2,412,7,Loyal
267596,3116,1,35829.625,2,1,4,214,7,Loyal
267598,3702,1,4171.375,1,1,2,112,4,Needs Attention
267604,3302,2,1158.04,2,3,1,231,6,Potential
267606,3672,1,1183.455,1,1,1,111,3,Require Activation
267613,3534,1,8978.125,1,1,2,112,4,Needs Attention
267615,3624,1,2758.08,1,1,1,111,3,Require Activation
267616,3625,1,4884.1,1,1,2,112,4,Needs Attention
267617,2872,1,32487.0,3,1,4,314,8,Champions
267618,3168,1,848.64,2,1,1,211,4,Needs Attention
267620,2785,2,54869.880000000005,4,3,4,434,11,Can't Loose Them
267621,2801,1,4145.96,4,1,2,412,7,Loyal
267624,3204,2,14172.73,2,3,3,233,8,Champions
267629,3151,2,9812.4,2,3,2,232,7,Loyal
267630,3240,1,1997.84,2,1,1,211,4,Needs Attention
267631,2821,4,18803.785,3,4,3,343,10,Can't Loose Them
267634,2728,3,95332.77,4,4,4,444,12,Can't Loose Them
267635,2698,1,4194.58,4,1,2,412,7,Loyal
267636,2962,1,26431.6,3,1,4,314,8,Champions
267638,3360,1,433.16,1,1,1,111,3,Require Activation
267642,3228,1,624.325,2,1,1,211,4,Needs Attention
267644,2752,1,11105.25,4,1,3,413,8,Champions
267646,2810,1,2496.195,4,1,1,411,6,Potential
267649,3553,1,4870.84,1,1,2,112,4,Needs Attention
267651,2724,1,5750.42,4,1,2,412,7,Loyal
267652,2754,3,11373.765,4,4,3,443,11,Can't Loose Them
267653,2993,2,10625.68,3,3,3,333,9,Can't Loose Them
267654,3601,1,279.565,1,1,1,111,3,Require Activation
267655,2787,1,297.245,4,1,1,411,6,Potential
267656,2567,3,6330.545,4,4,2,442,10,Can't Loose Them
267657,2755,2,28664.805,4,3,4,434,11,Can't Loose Them
267661,2776,2,3026.5950000000003,4,3,1,431,8,Champions
267662,2414,3,28685.8,4,4,4,444,12,Can't Loose Them
267664,2969,2,10657.725,3,3,3,333,9,Can't Loose Them
267666,2477,2,19031.415,4,3,3,433,10,Can't Loose Them
267667,2477,2,23842.585,4,3,4,434,11,Can't Loose Them
267673,2780,1,2148.12,4,1,1,411,6,Potential
267674,3514,2,12464.400000000001,1,3,3,133,7,Loyal
267683,3273,1,2987.92,2,1,1,211,4,Needs Attention
267687,3673,1,1303.9,1,1,1,111,3,Require Activation
267690,2900,4,27447.095,3,4,4,344,11,Can't Loose Them
267691,3060,1,11120.72,3,1,3,313,7,Loyal
267693,3575,1,10899.72,1,1,3,113,5,Promising
267697,2802,3,41329.21,4,4,4,444,12,Can't Loose Them
267700,3483,1,17432.48,1,1,3,113,5,Promising
267701,3248,1,577.915,2,1,1,211,4,Needs Attention
267702,2894,1,15328.56,3,1,3,313,7,Loyal
267704,2476,1,13861.12,4,1,3,413,8,Champions
267707,3604,1,1869.66,1,1,1,111,3,Require Activation
267711,2874,2,4022.2,3,3,2,332,8,Champions
267713,3516,1,14161.68,1,1,3,113,5,Promising
267714,3214,1,2709.46,2,1,1,211,4,Needs Attention
267715,3482,2,40061.775,1,3,4,134,8,Champions
267716,2972,1,6413.42,3,1,2,312,6,Potential
267718,3142,1,6347.12,2,1,2,212,5,Promising
267719,3176,1,7259.849999999999,2,1,2,212,5,Promising
267720,3182,2,6776.965,2,3,2,232,7,Loyal
267726,3119,1,14250.08,2,1,3,213,6,Potential
267737,3517,2,12587.055,1,3,3,133,7,Loyal
267739,2902,2,31679.245,3,3,4,334,10,Can't Loose Them
267742,3149,2,10572.64,2,3,3,233,8,Champions
267747,3639,1,11381.5,1,1,3,113,5,Promising
267750,2666,1,34116.875,4,1,4,414,9,Can't Loose Them
267752,3686,1,3122.7300000000005,1,1,1,111,3,Require Activation
267753,2636,2,9043.32,4,3,2,432,9,Can't Loose Them
267754,2414,3,17261.205,4,4,3,443,11,Can't Loose Them
267757,2882,1,1508.325,3,1,1,311,5,Promising
267768,2939,5,38076.090000000004,3,4,4,344,11,Can't Loose Them
267771,3172,1,13012.48,2,1,3,213,6,Potential
267772,3662,1,24663.6,1,1,4,114,6,Potential
267774,3692,1,4053.14,1,1,2,112,4,Needs Attention
267775,3002,3,23740.925000000003,3,4,4,344,11,Can't Loose Them
267781,2957,3,11065.470000000001,3,4,3,343,10,Can't Loose Them
267783,2862,1,11019.06,3,1,3,313,7,Loyal
267785,3093,1,1961.375,2,1,1,211,4,Needs Attention
267792,2730,1,40222.0,4,1,4,414,9,Can't Loose Them
267801,2729,2,19571.760000000002,4,3,3,433,10,Can't Loose Them
267803,2783,1,1042.015,4,1,1,411,6,Potential
267804,3120,1,8857.68,2,1,2,212,5,Promising
267806,3142,1,26007.28,2,1,4,214,7,Loyal
267807,3656,1,5502.9,1,1,2,112,4,Needs Attention
267811,3399,2,22409.4,1,3,4,134,8,Champions
267812,3217,2,6757.075,2,3,2,232,7,Loyal
267814,2901,2,25995.125,3,3,4,334,10,Can't Loose Them
267815,3318,1,1282.905,2,1,1,211,4,Needs Attention
267817,2697,2,7217.860000000001,4,3,2,432,9,Can't Loose Them
267819,3453,1,3391.245,1,1,1,111,3,Require Activation
267825,3304,1,13895.375,2,1,3,213,6,Potential
267826,3145,2,48150.375,2,3,4,234,9,Can't Loose Them
267827,2788,1,16796.0,4,1,3,413,8,Champions
267830,3143,1,30553.25,2,1,4,214,7,Loyal
267832,2965,1,9246.64,3,1,2,312,6,Potential
267833,2506,1,2523.82,4,1,1,411,6,Potential
267838,3244,1,5233.28,2,1,2,212,5,Promising
267842,2729,2,49531.625,4,3,4,434,11,Can't Loose Them
267844,3701,1,113.815,1,1,1,111,3,Require Activation
267849,3319,1,10996.96,2,1,3,213,6,Potential
267853,3502,1,486.2,1,1,1,111,3,Require Activation
267854,3569,1,14503.125,1,1,3,113,5,Promising
267856,3521,1,83.98,1,1,1,111,3,Require Activation
267858,2628,1,20243.6,4,1,3,413,8,Champions
267862,3062,1,39641.875,3,1,4,314,8,Champions
267866,3660,1,34862.75,1,1,4,114,6,Potential
267876,2729,1,1975.74,4,1,1,411,6,Potential
267881,3592,2,15562.82,1,3,3,133,7,Loyal
267883,3208,1,8521.76,2,1,2,212,5,Promising
267886,3694,1,1322.685,1,1,1,111,3,Require Activation
267888,3429,2,4073.0299999999997,1,3,2,132,6,Potential
267889,3331,1,14121.900000000001,2,1,3,213,6,Potential
267891,2892,3,28812.875,3,4,4,344,11,Can't Loose Them
267894,3482,1,6732.765,1,1,2,112,4,Needs Attention
267895,3270,2,16401.515,2,3,3,233,8,Champions
267898,3309,2,7158.19,2,3,2,232,7,Loyal
267901,3150,1,845.3249999999999,2,1,1,211,4,Needs Attention
267902,3725,1,7142.72,1,1,2,112,4,Needs Attention
267903,3239,2,8300.76,2,3,2,232,7,Loyal
267904,2895,4,82177.745,3,4,4,344,11,Can't Loose Them
267906,3301,1,16492.125,2,1,3,213,6,Potential
267907,2936,1,37929.125,3,1,4,314,8,Champions
267909,2631,1,32873.75,4,1,4,414,9,Can't Loose Them
267912,2897,1,27376.375,3,1,4,314,8,Champions
267913,3644,2,46250.88,1,3,4,134,8,Champions
267914,3597,1,1627.665,1,1,1,111,3,Require Activation
267915,2693,2,10812.425,4,3,3,433,10,Can't Loose Them
267918,2903,2,11525.15,3,3,3,333,9,Can't Loose Them
267920,2813,2,15388.23,4,3,3,433,10,Can't Loose Them
267926,3287,2,28943.265,2,3,4,234,9,Can't Loose Them
267930,3184,1,12132.900000000001,2,1,3,213,6,Potential
267934,3271,1,1834.3,2,1,1,211,4,Needs Attention
267935,2806,2,17326.4,4,3,3,433,10,Can't Loose Them
267938,2784,3,9954.945000000002,4,4,2,442,10,Can't Loose Them
267939,3459,2,15697.630000000001,1,3,3,133,7,Loyal
267942,3154,1,334.815,2,1,1,211,4,Needs Attention
267948,3324,1,8890.83,2,1,2,212,5,Promising
267950,2776,2,26984.1,4,3,4,434,11,Can't Loose Them
267952,3686,1,10911.875,1,1,3,113,5,Promising
267955,3294,1,32155.5,2,1,4,214,7,Loyal
267959,3534,1,13743.99,1,1,3,113,5,Promising
267960,2805,1,6347.12,4,1,2,412,7,Loyal
267962,3150,1,1129.31,2,1,1,211,4,Needs Attention
267970,2908,2,41812.095,3,3,4,334,10,Can't Loose Them
267971,2726,3,29706.82,4,4,4,444,12,Can't Loose Them
267974,2669,1,3518.32,4,1,2,412,7,Loyal
267976,3421,1,18204.875,1,1,3,113,5,Promising
267977,2729,4,24820.510000000002,4,4,4,444,12,Can't Loose Them
267978,2838,1,18829.2,3,1,3,313,7,Loyal
267980,3579,1,14788.215,1,1,3,113,5,Promising
267985,3028,1,34116.875,3,1,4,314,8,Champions
267987,2924,2,23072.4,3,3,4,334,10,Can't Loose Them
267990,3024,1,7885.28,3,1,2,312,6,Potential
267996,2864,1,6334.965,3,1,2,312,6,Potential
267999,2634,1,3003.39,4,1,1,411,6,Potential
268001,3535,1,8733.92,1,1,2,112,4,Needs Attention
268002,3635,1,8512.92,1,1,2,112,4,Needs Attention
268004,2665,2,14435.720000000001,4,3,3,433,10,Can't Loose Them
268005,3570,1,29061.5,1,1,4,114,6,Potential
268014,2967,1,1266.33,3,1,1,311,5,Promising
268015,3397,2,11227.905,1,3,3,133,7,Loyal
268016,2699,3,17441.320000000003,4,4,3,443,11,Can't Loose Them
268021,2955,2,42838.64,3,3,4,334,10,Can't Loose Them
268025,2668,2,28123.355,4,3,4,434,11,Can't Loose Them
